Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    3262    72640     3411    19702        0    14064     2074 72757361   431835 62359411  3392865   957480       38273     57480    34968     8586  1465028  2573072  3165767   104036        0        0 
    3158    72544     3499    19702        0    14053     2074     1375        7     1332        0        0       38361     57384    34968     8586        0        0        0        0        0        0 
    2818    72535     3499    19702        0    14121     2074       83        0       83        0        0       38361     57375    34968     8586        0        0        0        0        0        0 
    2971    72535     3500    19702        0    14093     2074      123        0      123        0        0       38362     57375    34968     8586        0        0        0        0        0        0 
    3081    72534     3500    19702        0    14093     2074      109        0      109        0        0       38362     57374    34968     8586        0        0        0        0        0        0 
    3113    72547     3502    19702        0    14093     2074       44        0       42        0        0       38365     57386    34968     8586        0        0        0        0        0        0 
    2755    72534     3497    19703        0    14093     2074       19        0       18        0        0       38360     57374    34968     8586        0        0        0        0        0        0 
    2771    72537     3498    19703        0    14093     2074       18        0       18        0        0       38361     57377    34968     8586        0        0        0        0        0        0 
    2807    72533     3498    19703        0    14093     2074       30        0       30        0        0       38361     57373    34968     8586        0        0        0        0        0        0 
    2912    72459     3498    19703        0    14091     2074       29        0       29        0        0       38361     57299    34968     8586        0        0        0        0        0        0 
    3080    72389     3498    19703        0    14089     2074       92        0       92        0        0       38361     57229    34968     8586        0        0        0        0        0        0 
    3143    72363     3499    19703        0    14058     2074        6        0        6        0        0       38362     57203    34968     8586        0        0        0        0        0        0 
    3148    72362     3499    19703        0    14058     2074        4        0        4        0        0       38362     57202    34968     8586        0        0        0        0        0        0 
    3174    72362     3500    19703        0    14086     2074       24        0       24        0        0       38363     57202    34968     8586        0        0        0        0        0        0 
    3208    72362     3500    19703        0    14086     2074       34        0       34        0        0       38363     57202    34968     8586        0        0        0        0        0        0 
    3256    72362     3500    19703        0    14086     2074       48        0       48        0        0       38363     57202    34968     8586        0        0        0        0        0        0 
    3320    72359     3500    19703        0    14085     2074       60        0       60        0        0       38363     57199    34968     8586        0        0        0        0        0        0 
    3368    72361     3500    19703        0    14085     2074       50        0       50        0        0       38363     57201    34968     8586        0        0        0        0        0        0 
    3086    72198     3500    19703        0    14077     2069       59        1       56        0        0       38363     57038    34968     8586        0        0        0        0        0        0 
    3163    72209     3500    19703        0    14080     2069       88        0       88        0        0       38363     57049    34968     8586        0        0        0        0        0        0 
    3309    72248     3500    19703        0    14129     2069      267        0      230        0        0       38363     57088    34968     8586        0        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    3473    72239     3501    19703        0    14055     2069 72759984   431843 62361947  3392865   957480       38364     57079    34968     8586  1465028  2573072  3165767   104036        0        0 
    3068    72243     3501    19703        0    14055     2069       70        0       70        0        0       38364     57083    34968     8586        0        0        0        0        0        0 
    3088    72243     3503    19703        0    14055     2069       18        0       18        0        0       38366     57083    34968     8586        0        0        0        0        0        0 
    3100    72239     3503    19703        0    14055     2069        8        0        8        0        0       38366     57079    34968     8586        0        0        0        0        0        0 
